Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
418 | 1.1 | 6995
419 | 1.3 | 2571
420 | 0.8 | 1785
421 | 1.2 | 4863
422 | 0.5 | 670
423 | 3.5 | 4501
424 | 6.4 | 5309
425 | 6.8 | 3776
426 | 1.5 | 7287
427 | 1.1 | 1020
428 | 2.0 | 4702
429 | 1.0 | 4833
430 | 2.2 | 3466
431 | 0.4 | 1161
432 | 2.2 | 1895
433 | 1.4 | 516
434 | 4.0 | 1553
435 | 2.6 | 6241
436 | 0.5 | 7374
437 | 3.0 | 3977
438 | 0.7 | 2935
439 | 1.2 | 1125
440 | 1.8 | 55
441 | 0.8 | 3578
442 | 0.2 | 4552
443 | 0.9 | 4463
444 | 1.1 | 4420
445 | 2.3 | 1523
446 | 1.8 | 3022
447 | 1.3 | 1733
448 | 1.1 | 5915
449 | 3.8 | 4107
450 | 0.7 | 1273
451 | 1.2 | 1881
452 | 1.4 | 1763
453 | 6.5 | 6357
454 | 1.6 | 219
455 | 3.7 | 6529
456 | 5.1 | 2171
457 | 0.2 | 964
458 | 1.7 | 1463
459 | 0.7 | 7090
460 | 0.1 | 6599
461 | 6.7 | 2298
462 | 1.4 | 1617
463 | 1.7 | 1547
464 | 3.2 | 4011
465 | 2.0 | 146
466 | 2.3 | 639
467 | 2.3 | 2541
468 | 0.1 | 2830
469 | 0.7 | 6940
470 | 4.0 | 5609
471 | 2.3 | 4275
472 | 4.4 | 1542
473 | 4.2 | 2189
474 | 1.2 | 6298
475 | 2.6 | 4865
476 | 1.6 | 237
477 | 0.6 | 7255
478 | 6.7 | 1672
479 | 1.1 | 5879
480 | 2.1 | 413
481 | 0.4 | 3120
482 | 4.7 | 1369
483 | 4.9 | 5268
484 | 2.4 | 3677
485 | 3.9 | 1884
486 | 1.5 | 4635
487 | 2.5 | 5381
488 | 4.6 | 5768
489 | 1.3 | 3149
490 | 0.8 | 262
491 | 4.8 | 1044
492 | 0.3 | 4577
493 | 2.0 | 1628
494 | 1.0 | 3891
495 | 1.1 | 6943
496 | 1.3 | 1324
497 | 2.0 | 2398
498 | 0.6 | 6707
499 | 4.3 | 113
500 | 4.2 | 761
501 | 0.7 | 2771
502 | 3.4 | 773
503 | 0.7 | 3242
504 | 2.0 | 6004
505 | 0.3 | 1112
506 | 0.1 | 5389
507 | 0.7 | 5525
508 | 3.7 | 4742
509 | 1.6 | 3894
510 | 1.3 | 4807
511 | 3.2 | 2191
512 | 0.3 | 4983
513 | 2.6 | 1585
514 | 0.8 | 4093
515 | 1.6 | 2907
516 | 1.0 | 6883
517 | 1.0 | 2934
518 | 0.3 | 6160
519 | 2.6 | 5000
520 | 1.1 | 2833
521 | 0.8 | 7157
522 | 4.8 | 3378
523 | 0.5 | 4408
524 | 0.5 | 5008
525 | 2.1 | 505
526 | 1.5 | 2750
527 | 3.4 | 2620
528 | 1.8 | 5689
529 | 2.5 | 4594
530 | 1.3 | 2795
531 | 0.3 | 3282
532 | 1.1 | 1130
533 | 1.2 | 7412
534 | 3.2 | 1688
535 | 1.7 | 4270
536 | 1.0 | 6588
537 | 1.1 | 3307
538 | 0.2 | 3623
539 | 4.5 | 6501
540 | 2.0 | 4490
541 | 0.3 | 4546
542 | 0.7 | 7269
543 | 2.5 | 7121
544 | 0.4 | 5815
545 | 1.4 | 2964
546 | 0.7 | 5335
547 | 2.8 | 5582
548 | 2.7 | 3427
549 | 1.2 | 3175
550 | 2.1 | 747
551 | 2.9 | 7054
552 | 0.6 | 3110
553 | 2.0 | 6613
554 | 0.1 | 2037
555 | 1.2 | 1835
556 | 0.9 | 4507
557 | 3.5 | 7368
558 | 2.0 | 3331
559 | 0.7 | 2925
560 | 2.3 | 1107
561 | 2.8 | 1583
562 | 0.8 | 4867
563 | 1.7 | 7422
564 | 0.9 | 6935
565 | 4.9 | 4139
566 | 0.1 | 2766
567 | 1.1 | 7457
568 | 2.6 | 5419
569 | 5.1 | 3801
570 | 5.6 | 210
571 | 1.7 | 4409
572 | 2.0 | 4446
573 | 3.3 | 1992
574 | 3.7 | 3739
575 | 2.9 | 2840
576 | 0.9 | 1327
577 | 2.3 | 1078
578 | 1.2 | 6064
579 | 1.0 | 1738
580 | 3.0 | 3750
581 | 2.3 | 3098
582 | 2.1 | 3595
583 | 2.4 | 6512
584 | 4.1 | 2322
585 | 0.9 | 5619
586 | 0.7 | 2964
587 | 1.0 | 2661
588 | 1.9 | 5402
589 | 0.9 | 4377
590 | 2.4 | 5728
591 | 0.6 | 4850
592 | 4.3 | 3805
593 | 3.0 | 6314
