Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
536 | 2.4 | 3232
537 | 1.2 | 4561
538 | 2.2 | 891
539 | 6.8 | 2014
540 | 2.4 | 71
541 | 4.2 | 5831
542 | 1.2 | 681
543 | 0.2 | 7315
544 | 2.2 | 1471
545 | 0.3 | 4528
546 | 1.7 | 603
547 | 3.6 | 3902
548 | 1.8 | 407
549 | 0.1 | 22
550 | 2.2 | 4606
551 | 0.1 | 3491
552 | 1.3 | 3776
553 | 0.1 | 7329
554 | 1.9 | 3866
555 | 1.6 | 2722
556 | 2.0 | 4572
557 | 0.6 | 2202
558 | 5.2 | 332
559 | 2.3 | 3641
560 | 0.6 | 7422
561 | 3.3 | 6047
562 | 7.2 | 3813
563 | 2.2 | 3936
564 | 0.6 | 7067
565 | 1.1 | 978
566 | 2.8 | 4366
567 | 0.7 | 7323
568 | 2.4 | 1289
569 | 0.5 | 1609
570 | 2.7 | 162
571 | 1.4 | 5062
572 | 2.5 | 6401
573 | 2.5 | 1946
574 | 1.6 | 4562
575 | 0.4 | 7271
576 | 0.1 | 975
577 | 1.9 | 3184
578 | 2.4 | 6170
579 | 2.0 | 1632
580 | 0.2 | 5220
581 | 0.9 | 1355
582 | 1.6 | 4178
583 | 1.2 | 300
584 | 2.7 | 1611
585 | 3.0 | 2582
586 | 2.2 | 7240
587 | 2.6 | 6856
588 | 3.6 | 4748
589 | 1.8 | 606
590 | 2.4 | 6605
591 | 3.9 | 1631
592 | 3.4 | 869
593 | 2.3 | 2001
594 | 1.4 | 2219
595 | 1.2 | 60
596 | 0.1 | 3198
597 | 3.0 | 4371
598 | 4.0 | 4249
599 | 2.2 | 2789
600 | 1.6 | 3476
601 | 2.4 | 2463
602 | 2.2 | 4407
603 | 0.8 | 1511
604 | 0.4 | 5285
605 | 0.1 | 1344
606 | 0.7 | 5752
607 | 3.1 | 4877
608 | 0.7 | 7340
609 | 0.5 | 212
610 | 1.9 | 1557
611 | 3.8 | 1889
612 | 2.5 | 4513
613 | 0.7 | 1920
614 | 1.4 | 4889
615 | 2.1 | 4678
616 | 1.2 | 612
617 | 4.6 | 797
618 | 0.2 | 4552
619 | 4.5 | 4656
